Date/Time,Step Count (count),Source
2022-03-08 00:00:00,3765,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-09 00:00:00,4864,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-10 00:00:00,1146,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-11 00:00:00,3910,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-12 00:00:00,3808,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-13 00:00:00,2227,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-14 00:00:00,10476,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-15 00:00:00,8268,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-16 00:00:00,7901,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-17 00:00:00,12003,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-18 00:00:00,4493,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-19 00:00:00,4545,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-20 00:00:00,1869,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-21 00:00:00,6098,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-22 00:00:00,6056,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-23 00:00:00,2915,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
